
===== run 'base' | device cuda | preset base =====
artifacts -> runs/base/  (train.log, metrics.jsonl, summary.json, samples.txt, figures/)
args: {"preset": "base", "run_name": "base", "checkpoint_dir": "checkpoints", "runs_dir": "runs", "batch_size": 96, "max_steps": 100000, "warmup_steps": 4000, "label_smoothing": 0.1, "dropout": 0.1, "grad_clip": 1.0, "max_len": 64, "vocab_size": 10000, "log_every": 50, "eval_every": 2000, "bleu_sentences": 1000, "num_workers": 2, "seed": 1337, "amp": true, "no_figures": false, "device": null, "resume": null}
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
data: online=True train=29000 val=1014 test=1000
vocab: 10000
model: 49,260,544 params | d_model=512 h=8 6+6
training to 100000 steps...

step   3350 | loss  3.314 | ppl    27.49 | lr 5.85e-04 | gnorm   1.60 |    16269 tok/s
step   3400 | loss  3.359 | ppl    28.76 | lr 5.94e-04 | gnorm   1.67 |    17318 tok/s
step   3450 | loss  3.430 | ppl    30.88 | lr 6.03e-04 | gnorm   1.35 |    17154 tok/s
step   3500 | loss  3.376 | ppl    29.25 | lr 6.11e-04 | gnorm   1.58 |    17264 tok/s
step   3550 | loss  3.310 | ppl    27.40 | lr 6.20e-04 | gnorm   1.50 |    17374 tok/s
step   3600 | loss  3.391 | ppl    29.68 | lr 6.29e-04 | gnorm   1.57 |    17405 tok/s
step   3650 | loss  3.098 | ppl    22.15 | lr 6.38e-04 | gnorm   1.49 |    16025 tok/s
step   3700 | loss  3.278 | ppl    26.52 | lr 6.46e-04 | gnorm   1.77 |    16478 tok/s
step   3750 | loss  3.237 | ppl    25.45 | lr 6.55e-04 | gnorm   1.79 |    16500 tok/s
step   3800 | loss  3.295 | ppl    26.98 | lr 6.64e-04 | gnorm   1.59 |    16504 tok/s
step   3850 | loss  3.365 | ppl    28.93 | lr 6.73e-04 | gnorm   1.50 |    16443 tok/s
step   3900 | loss  3.490 | ppl    32.79 | lr 6.81e-04 | gnorm   1.45 |    16242 tok/s
step   3950 | loss  3.090 | ppl    21.98 | lr 6.90e-04 | gnorm   1.71 |    15632 tok/s
step   4000 | loss  3.114 | ppl    22.52 | lr 6.99e-04 | gnorm   1.50 |    16986 tok/s
  [eval @ 4000] val_loss 3.676 | val_ppl 39.48 | BLEU 16.00  <- new best (saved)
step   4050 | loss  3.021 | ppl    20.50 | lr 6.94e-04 | gnorm   1.52 |     3326 tok/s
step   4100 | loss  3.245 | ppl    25.66 | lr 6.90e-04 | gnorm   1.62 |    17329 tok/s
step   4150 | loss  3.331 | ppl    27.96 | lr 6.86e-04 | gnorm   1.56 |    17607 tok/s
step   4200 | loss  3.132 | ppl    22.92 | lr 6.82e-04 | gnorm   1.44 |    17313 tok/s
step   4250 | loss  3.013 | ppl    20.34 | lr 6.78e-04 | gnorm   1.51 |    16588 tok/s
step   4300 | loss  3.068 | ppl    21.50 | lr 6.74e-04 | gnorm   1.40 |    17295 tok/s
step   4350 | loss  3.058 | ppl    21.29 | lr 6.70e-04 | gnorm   1.66 |    17378 tok/s
step   4400 | loss  3.042 | ppl    20.94 | lr 6.66e-04 | gnorm   1.64 |    17481 tok/s
step   4450 | loss  3.086 | ppl    21.88 | lr 6.62e-04 | gnorm   1.45 |    17326 tok/s
step   4500 | loss  3.108 | ppl    22.37 | lr 6.59e-04 | gnorm   1.53 |    17314 tok/s
step   4550 | loss  3.055 | ppl    21.22 | lr 6.55e-04 | gnorm   1.62 |    16464 tok/s
step   4600 | loss  2.998 | ppl    20.04 | lr 6.52e-04 | gnorm   1.48 |    16782 tok/s
step   4650 | loss  3.012 | ppl    20.33 | lr 6.48e-04 | gnorm   1.46 |    16859 tok/s
step   4700 | loss  3.106 | ppl    22.33 | lr 6.45e-04 | gnorm   1.42 |    16630 tok/s
step   4750 | loss  3.073 | ppl    21.60 | lr 6.41e-04 | gnorm   1.59 |    17130 tok/s
step   4800 | loss  3.025 | ppl    20.59 | lr 6.38e-04 | gnorm   1.56 |    17231 tok/s
step   4850 | loss  2.815 | ppl    16.69 | lr 6.35e-04 | gnorm   1.69 |    16014 tok/s
step   4900 | loss  2.883 | ppl    17.86 | lr 6.31e-04 | gnorm   1.51 |    17069 tok/s
step   4950 | loss  2.868 | ppl    17.60 | lr 6.28e-04 | gnorm   1.48 |    16773 tok/s
step   5000 | loss  3.023 | ppl    20.55 | lr 6.25e-04 | gnorm   1.46 |    16904 tok/s
step   5050 | loss  3.206 | ppl    24.68 | lr 6.22e-04 | gnorm   1.49 |    17152 tok/s
step   5100 | loss  3.037 | ppl    20.85 | lr 6.19e-04 | gnorm   1.46 |    17123 tok/s
step   5150 | loss  2.959 | ppl    19.27 | lr 6.16e-04 | gnorm   1.42 |    16954 tok/s
step   5200 | loss  2.858 | ppl    17.43 | lr 6.13e-04 | gnorm   1.64 |    16169 tok/s
step   5250 | loss  2.828 | ppl    16.92 | lr 6.10e-04 | gnorm   1.46 |    17100 tok/s
step   5300 | loss  2.905 | ppl    18.27 | lr 6.07e-04 | gnorm   1.59 |    16978 tok/s
step   5350 | loss  2.838 | ppl    17.07 | lr 6.04e-04 | gnorm   1.50 |    17296 tok/s
step   5400 | loss  2.766 | ppl    15.89 | lr 6.01e-04 | gnorm   1.52 |    17038 tok/s
step   5450 | loss  2.867 | ppl    17.59 | lr 5.99e-04 | gnorm   1.59 |    16784 tok/s
step   5500 | loss  2.869 | ppl    17.62 | lr 5.96e-04 | gnorm   1.73 |    16064 tok/s
step   5550 | loss  2.859 | ppl    17.45 | lr 5.93e-04 | gnorm   1.50 |    16960 tok/s
step   5600 | loss  2.679 | ppl    14.58 | lr 5.91e-04 | gnorm   1.50 |    17029 tok/s
step   5650 | loss  2.941 | ppl    18.93 | lr 5.88e-04 | gnorm   1.43 |    17112 tok/s
step   5700 | loss  2.924 | ppl    18.62 | lr 5.85e-04 | gnorm   1.52 |    17311 tok/s
step   5750 | loss  2.951 | ppl    19.12 | lr 5.83e-04 | gnorm   1.49 |    17075 tok/s
step   5800 | loss  2.651 | ppl    14.17 | lr 5.80e-04 | gnorm   1.38 |    16100 tok/s
step   5850 | loss  2.705 | ppl    14.95 | lr 5.78e-04 | gnorm   1.51 |    17032 tok/s
step   5900 | loss  2.776 | ppl    16.05 | lr 5.75e-04 | gnorm   1.59 |    17022 tok/s
step   5950 | loss  2.758 | ppl    15.77 | lr 5.73e-04 | gnorm   1.52 |    17135 tok/s
step   6000 | loss  2.769 | ppl    15.95 | lr 5.71e-04 | gnorm   1.40 |    17128 tok/s
  [eval @ 6000] val_loss 3.561 | val_ppl 35.21 | BLEU 19.61  <- new best (saved)
step   6050 | loss  2.820 | ppl    16.77 | lr 5.68e-04 | gnorm   1.49 |     3414 tok/s
step   6100 | loss  2.619 | ppl    13.72 | lr 5.66e-04 | gnorm   1.56 |    15932 tok/s
step   6150 | loss  2.658 | ppl    14.26 | lr 5.64e-04 | gnorm   1.64 |    17258 tok/s
step   6200 | loss  2.725 | ppl    15.25 | lr 5.61e-04 | gnorm   1.63 |    17151 tok/s
step   6250 | loss  2.621 | ppl    13.76 | lr 5.59e-04 | gnorm   1.48 |    17207 tok/s
step   6300 | loss  2.794 | ppl    16.35 | lr 5.57e-04 | gnorm   1.61 |    17102 tok/s
step   6350 | loss  2.608 | ppl    13.57 | lr 5.55e-04 | gnorm   1.47 |    17203 tok/s
step   6400 | loss  2.550 | ppl    12.81 | lr 5.52e-04 | gnorm   1.36 |    16519 tok/s
step   6450 | loss  2.639 | ppl    13.99 | lr 5.50e-04 | gnorm   1.44 |    17485 tok/s
step   6500 | loss  2.546 | ppl    12.76 | lr 5.48e-04 | gnorm   1.57 |    16995 tok/s
step   6550 | loss  2.573 | ppl    13.10 | lr 5.46e-04 | gnorm   1.64 |    16987 tok/s
step   6600 | loss  2.623 | ppl    13.77 | lr 5.44e-04 | gnorm   1.75 |    16858 tok/s
step   6650 | loss  2.781 | ppl    16.14 | lr 5.42e-04 | gnorm   1.55 |    16802 tok/s
step   6700 | loss  2.442 | ppl    11.50 | lr 5.40e-04 | gnorm   1.51 |    16023 tok/s
step   6750 | loss  2.518 | ppl    12.41 | lr 5.38e-04 | gnorm   1.46 |    16748 tok/s
step   6800 | loss  2.594 | ppl    13.38 | lr 5.36e-04 | gnorm   1.55 |    17101 tok/s
step   6850 | loss  2.585 | ppl    13.27 | lr 5.34e-04 | gnorm   1.74 |    17044 tok/s
step   6900 | loss  2.622 | ppl    13.77 | lr 5.32e-04 | gnorm   1.60 |    17254 tok/s
step   6950 | loss  2.663 | ppl    14.34 | lr 5.30e-04 | gnorm   1.49 |    17202 tok/s
step   7000 | loss  2.401 | ppl    11.04 | lr 5.28e-04 | gnorm   1.50 |    15998 tok/s
step   7050 | loss  2.444 | ppl    11.51 | lr 5.26e-04 | gnorm   1.59 |    16987 tok/s
step   7100 | loss  2.454 | ppl    11.63 | lr 5.24e-04 | gnorm   1.57 |    17091 tok/s
step   7150 | loss  2.517 | ppl    12.39 | lr 5.23e-04 | gnorm   1.50 |    16318 tok/s
step   7200 | loss  2.544 | ppl    12.74 | lr 5.21e-04 | gnorm   1.57 |    16312 tok/s
step   7250 | loss  2.512 | ppl    12.33 | lr 5.19e-04 | gnorm   1.46 |    16314 tok/s
step   7300 | loss  2.342 | ppl    10.40 | lr 5.17e-04 | gnorm   1.65 |    16013 tok/s
step   7350 | loss  2.436 | ppl    11.43 | lr 5.15e-04 | gnorm   1.79 |    17157 tok/s
step   7400 | loss  2.374 | ppl    10.74 | lr 5.14e-04 | gnorm   1.48 |    17137 tok/s
step   7450 | loss  2.384 | ppl    10.85 | lr 5.12e-04 | gnorm   1.62 |    17225 tok/s
step   7500 | loss  2.450 | ppl    11.59 | lr 5.10e-04 | gnorm   1.66 |    17077 tok/s
step   7550 | loss  2.525 | ppl    12.49 | lr 5.09e-04 | gnorm   1.50 |    17263 tok/s
step   7600 | loss  2.309 | ppl    10.07 | lr 5.07e-04 | gnorm   1.50 |    16373 tok/s
step   7650 | loss  2.371 | ppl    10.71 | lr 5.05e-04 | gnorm   1.51 |    17034 tok/s
step   7700 | loss  2.398 | ppl    11.01 | lr 5.04e-04 | gnorm   1.88 |    17191 tok/s
step   7750 | loss  2.400 | ppl    11.02 | lr 5.02e-04 | gnorm   1.62 |    17459 tok/s
step   7800 | loss  2.257 | ppl     9.56 | lr 5.00e-04 | gnorm   1.45 |    16865 tok/s
step   7850 | loss  2.479 | ppl    11.93 | lr 4.99e-04 | gnorm   1.64 |    17343 tok/s
step   7900 | loss  2.201 | ppl     9.03 | lr 4.97e-04 | gnorm   1.41 |    16281 tok/s
step   7950 | loss  2.270 | ppl     9.68 | lr 4.96e-04 | gnorm   1.46 |    17259 tok/s
step   8000 | loss  2.373 | ppl    10.73 | lr 4.94e-04 | gnorm   1.62 |    17273 tok/s
  [eval @ 8000] val_loss 3.672 | val_ppl 39.31 | BLEU 21.08
step   8050 | loss  2.227 | ppl     9.27 | lr 4.93e-04 | gnorm   1.42 |     4391 tok/s
step   8100 | loss  2.436 | ppl    11.43 | lr 4.91e-04 | gnorm   1.61 |    17150 tok/s
step   8150 | loss  2.342 | ppl    10.40 | lr 4.90e-04 | gnorm   1.62 |    17443 tok/s
step   8200 | loss  2.252 | ppl     9.51 | lr 4.88e-04 | gnorm   1.42 |    16199 tok/s
step   8250 | loss  2.256 | ppl     9.54 | lr 4.87e-04 | gnorm   1.49 |    17318 tok/s
step   8300 | loss  2.348 | ppl    10.47 | lr 4.85e-04 | gnorm   1.47 |    17254 tok/s
step   8350 | loss  2.357 | ppl    10.56 | lr 4.84e-04 | gnorm   1.69 |    17331 tok/s
step   8400 | loss  2.312 | ppl    10.10 | lr 4.82e-04 | gnorm   1.59 |    16439 tok/s
step   8450 | loss  2.301 | ppl     9.99 | lr 4.81e-04 | gnorm   1.49 |    16304 tok/s
step   8500 | loss  2.183 | ppl     8.88 | lr 4.79e-04 | gnorm   1.49 |    15681 tok/s
step   8550 | loss  2.217 | ppl     9.18 | lr 4.78e-04 | gnorm   1.56 |    17194 tok/s
step   8600 | loss  2.372 | ppl    10.72 | lr 4.77e-04 | gnorm   1.59 |    17265 tok/s
step   8650 | loss  2.284 | ppl     9.82 | lr 4.75e-04 | gnorm   1.54 |    17526 tok/s
step   8700 | loss  2.193 | ppl     8.96 | lr 4.74e-04 | gnorm   1.54 |    17549 tok/s
step   8750 | loss  2.232 | ppl     9.32 | lr 4.72e-04 | gnorm   1.57 |    17122 tok/s
step   8800 | loss  2.132 | ppl     8.44 | lr 4.71e-04 | gnorm   1.54 |    16291 tok/s
step   8850 | loss  2.160 | ppl     8.67 | lr 4.70e-04 | gnorm   1.53 |    16195 tok/s
step   8900 | loss  2.181 | ppl     8.85 | lr 4.68e-04 | gnorm   1.60 |    16699 tok/s
step   8950 | loss  2.242 | ppl     9.41 | lr 4.67e-04 | gnorm   1.48 |    16339 tok/s
step   9000 | loss  2.177 | ppl     8.82 | lr 4.66e-04 | gnorm   1.60 |    16515 tok/s
step   9050 | loss  2.157 | ppl     8.65 | lr 4.65e-04 | gnorm   1.52 |    16366 tok/s
step   9100 | loss  2.075 | ppl     7.96 | lr 4.63e-04 | gnorm   1.47 |    15836 tok/s
step   9150 | loss  2.137 | ppl     8.48 | lr 4.62e-04 | gnorm   1.67 |    17007 tok/s
step   9200 | loss  2.074 | ppl     7.96 | lr 4.61e-04 | gnorm   1.42 |    17271 tok/s
step   9250 | loss  2.120 | ppl     8.33 | lr 4.60e-04 | gnorm   1.49 |    17389 tok/s
step   9300 | loss  2.158 | ppl     8.66 | lr 4.58e-04 | gnorm   1.55 |    17326 tok/s
step   9350 | loss  2.199 | ppl     9.01 | lr 4.57e-04 | gnorm   1.64 |    17295 tok/s
step   9400 | loss  2.001 | ppl     7.40 | lr 4.56e-04 | gnorm   1.46 |    16422 tok/s
step   9450 | loss  2.162 | ppl     8.69 | lr 4.55e-04 | gnorm   1.62 |    17156 tok/s
step   9500 | loss  2.111 | ppl     8.26 | lr 4.53e-04 | gnorm   1.52 |    17135 tok/s
step   9550 | loss  2.063 | ppl     7.87 | lr 4.52e-04 | gnorm   1.49 |    17177 tok/s
step   9600 | loss  2.074 | ppl     7.96 | lr 4.51e-04 | gnorm   1.48 |    17265 tok/s
step   9650 | loss  2.163 | ppl     8.70 | lr 4.50e-04 | gnorm   1.58 |    16764 tok/s
step   9700 | loss  1.962 | ppl     7.11 | lr 4.49e-04 | gnorm   1.36 |    16295 tok/s
step   9750 | loss  1.990 | ppl     7.32 | lr 4.48e-04 | gnorm   1.50 |    16378 tok/s
step   9800 | loss  2.059 | ppl     7.84 | lr 4.46e-04 | gnorm   1.53 |    16009 tok/s
step   9850 | loss  1.962 | ppl     7.11 | lr 4.45e-04 | gnorm   1.37 |    16375 tok/s
step   9900 | loss  2.136 | ppl     8.47 | lr 4.44e-04 | gnorm   1.76 |    16110 tok/s
step   9950 | loss  2.080 | ppl     8.01 | lr 4.43e-04 | gnorm   1.53 |    16060 tok/s
